sim,min_dist,avg_dist,overlap_amount
1,0.213495,0.622916,0.014105
2,0.210597,0.620311,0.017003
3,0.211421,0.616627,0.016179
4,0.209326,0.619102,0.018274
5,0.208205,0.622837,0.019395
6,0.208749,0.620564,0.018851
7,0.214811,0.618184,0.012789
8,0.212994,0.609800,0.014606
9,0.204935,0.618177,0.022665
10,0.214667,0.615114,0.012933
11,0.207028,0.620920,0.020572
12,0.213514,0.617886,0.014086
13,0.198865,0.618983,0.028735
14,0.214162,0.619122,0.013438
15,0.210341,0.615900,0.017259
16,0.210872,0.613741,0.016728
17,0.205772,0.614419,0.021828
18,0.207459,0.619304,0.020141
19,0.208337,0.618174,0.019263
20,0.211843,0.616623,0.015757
21,0.209245,0.620025,0.018355
22,0.210851,0.623728,0.016749
23,0.215704,0.619311,0.011896
24,0.205277,0.620147,0.022323
25,0.209088,0.616977,0.018512
26,0.211280,0.616245,0.016320
27,0.209103,0.618613,0.018497
28,0.214703,0.617143,0.012897
29,0.208951,0.622607,0.018649
30,0.210040,0.620386,0.017560
31,0.210228,0.617899,0.017372
32,0.213560,0.617585,0.014040
33,0.210301,0.615528,0.017299
34,0.205309,0.617025,0.022291
35,0.207822,0.616647,0.019778
36,0.208303,0.624588,0.019297
37,0.212936,0.617395,0.014664
38,0.212719,0.620551,0.014881
39,0.211536,0.618936,0.016064
40,0.211197,0.622182,0.016403
41,0.211847,0.621092,0.015753
42,0.203264,0.620623,0.024336
43,0.214806,0.616783,0.012794
44,0.209114,0.618362,0.018486
45,0.212694,0.618218,0.014906
46,0.203554,0.615911,0.024046
47,0.207567,0.618059,0.020033
48,0.209565,0.614976,0.018035
49,0.210981,0.619028,0.016619
50,0.197968,0.616111,0.029632
51,0.211607,0.615434,0.015993
52,0.203858,0.617852,0.023742
53,0.212116,0.617726,0.015484
54,0.208750,0.622565,0.018850
55,0.204266,0.618885,0.023334
56,0.204048,0.615143,0.023552
57,0.212569,0.616901,0.015031
58,0.206682,0.618098,0.020918
59,0.210513,0.615866,0.017087
60,0.213680,0.616679,0.013920
61,0.210165,0.621334,0.017435
62,0.205204,0.615485,0.022396
63,0.214684,0.622999,0.012916
64,0.207628,0.618064,0.019972
65,0.205374,0.617560,0.022226
66,0.212801,0.617781,0.014799
67,0.204059,0.619641,0.023541
68,0.211806,0.614782,0.015794
69,0.214539,0.616926,0.013061
70,0.205060,0.616656,0.022540
71,0.210080,0.616677,0.017520
72,0.210496,0.615172,0.017104
73,0.212816,0.617208,0.014784
74,0.209921,0.619681,0.017679
75,0.207043,0.612084,0.020557
76,0.211353,0.617879,0.016247
77,0.209013,0.620180,0.018587
78,0.215339,0.619717,0.012261
79,0.209078,0.621152,0.018522
80,0.213048,0.618621,0.014552
81,0.207333,0.620516,0.020267
82,0.215529,0.619326,0.012071
83,0.212920,0.617973,0.014680
84,0.211236,0.614956,0.016364
85,0.209638,0.618220,0.017962
86,0.209256,0.619724,0.018344
87,0.212357,0.621780,0.015243
88,0.211263,0.617203,0.016337
89,0.209724,0.620345,0.017876
90,0.214218,0.617806,0.013382
91,0.205702,0.613517,0.021898
92,0.207955,0.619741,0.019645
93,0.206466,0.624689,0.021134
94,0.214205,0.615581,0.013395
95,0.213669,0.620694,0.013931
96,0.201979,0.614262,0.025621
97,0.209903,0.616428,0.017697
98,0.214388,0.621397,0.013212
99,0.210013,0.623059,0.017587
100,0.212122,0.621546,0.015478
101,0.207207,0.621521,0.020393
102,0.213998,0.618039,0.013602
103,0.200530,0.617473,0.027070
104,0.209501,0.612910,0.018099
105,0.209395,0.617749,0.018205
106,0.209119,0.620476,0.018481
107,0.210211,0.617298,0.017389
108,0.205850,0.616178,0.021750
109,0.209344,0.614330,0.018256
110,0.209655,0.616831,0.017945
111,0.209157,0.614768,0.018443
112,0.211281,0.619390,0.016319
113,0.212044,0.617845,0.015556
114,0.206268,0.618140,0.021332
115,0.211666,0.622899,0.015934
116,0.214947,0.623767,0.012653
117,0.216624,0.617150,0.010976
118,0.212987,0.617269,0.014613
119,0.210943,0.624583,0.016657
120,0.214786,0.620617,0.012814
121,0.211969,0.618409,0.015631
122,0.205947,0.618420,0.021653
123,0.198104,0.617812,0.029496
124,0.208912,0.619290,0.018688
125,0.208341,0.615255,0.019259
126,0.205470,0.615063,0.022130
127,0.207596,0.619215,0.020004
128,0.211263,0.619470,0.016337
129,0.213805,0.615779,0.013795
130,0.204971,0.618741,0.022629
131,0.208973,0.616933,0.018627
132,0.211260,0.619059,0.016340
133,0.215147,0.618169,0.012453
134,0.209270,0.620614,0.018330
135,0.209294,0.624027,0.018306
136,0.202418,0.618004,0.025182
137,0.211230,0.622745,0.016370
138,0.211332,0.619020,0.016268
139,0.210758,0.618903,0.016842
140,0.208005,0.616194,0.019595
141,0.211029,0.616602,0.016571
142,0.213434,0.619679,0.014166
143,0.211883,0.618514,0.015717
144,0.215607,0.615852,0.011993
145,0.209481,0.615909,0.018119
146,0.215275,0.617463,0.012325
147,0.217257,0.620140,0.010343
148,0.214497,0.621973,0.013103
149,0.204228,0.618394,0.023372
150,0.212473,0.619886,0.015127
151,0.213517,0.615057,0.014083
152,0.214780,0.620768,0.012820
153,0.208931,0.617763,0.018669
154,0.204413,0.621724,0.023187
155,0.207338,0.621238,0.020262
156,0.209943,0.619578,0.017657
157,0.213986,0.619309,0.013614
158,0.215299,0.618947,0.012301
159,0.206731,0.615464,0.020869
160,0.208596,0.615035,0.019004
161,0.209699,0.616866,0.017901
162,0.202452,0.615871,0.025148
163,0.201551,0.615129,0.026049
164,0.209140,0.620985,0.018460
165,0.212142,0.619927,0.015458
166,0.208262,0.615898,0.019338
167,0.213362,0.616138,0.014238
168,0.207471,0.623484,0.020129
169,0.208858,0.619216,0.018742
170,0.209648,0.618597,0.017952
171,0.214657,0.612268,0.012943
172,0.213992,0.619859,0.013608
173,0.202488,0.623986,0.025112
174,0.209813,0.614056,0.017787
175,0.216108,0.619378,0.011492
176,0.209699,0.617681,0.017901
177,0.211419,0.617534,0.016181
178,0.209029,0.617440,0.018571
179,0.213813,0.620468,0.013787
180,0.210405,0.616454,0.017195
181,0.207358,0.616986,0.020242
182,0.210902,0.621641,0.016698
183,0.209063,0.620061,0.018537
184,0.214132,0.620235,0.013468
185,0.204605,0.623035,0.022995
186,0.208748,0.619241,0.018852
187,0.210125,0.622141,0.017475
188,0.213713,0.619054,0.013887
189,0.214373,0.620659,0.013227
190,0.204781,0.609468,0.022819
