num_spheres=89,sphere_radius=0.1138,best_known_diameter=0.22753939547,num_samples=1000,dt=0.03,max_iter=2500,tol=1e-09,boundary_mode=stophit
################################################################################
sample_index,min_distance,avg_distance,excess
0,0.214117,0.624858,0.013422
1,0.212472,0.614433,0.015068
2,0.207866,0.619060,0.019673
3,0.205423,0.621501,0.022116
4,0.213086,0.624280,0.014454
5,0.210144,0.622020,0.017396
6,0.211101,0.617315,0.016438
7,0.207527,0.621762,0.020012
8,0.209403,0.619144,0.018136
9,0.209556,0.619476,0.017983
10,0.210018,0.621617,0.017521
11,0.210367,0.619626,0.017172
12,0.201840,0.618271,0.025700
13,0.200859,0.624989,0.026680
14,0.215891,0.619708,0.011648
15,0.212493,0.621018,0.015046
16,0.209283,0.615838,0.018257
17,0.209335,0.619692,0.018204
18,0.203239,0.617702,0.024301
19,0.207926,0.621740,0.019613
20,0.211166,0.619851,0.016374
21,0.212891,0.613973,0.014649
22,0.212098,0.618126,0.015442
23,0.208379,0.622000,0.019161
24,0.208376,0.624043,0.019163
25,0.212296,0.620578,0.015244
26,0.209984,0.615750,0.017556
27,0.219120,0.619865,0.008420
28,0.209169,0.625325,0.018370
29,0.212925,0.625169,0.014614
30,0.209176,0.622860,0.018364
31,0.211598,0.620311,0.015941
32,0.210990,0.622100,0.016549
33,0.210709,0.618689,0.016830
34,0.211835,0.622303,0.015705
35,0.213788,0.621402,0.013752
36,0.206385,0.617992,0.021154
37,0.216595,0.622502,0.010944
38,0.207443,0.621437,0.020097
39,0.211262,0.620578,0.016277
40,0.209055,0.618787,0.018485
41,0.208430,0.621936,0.019109
42,0.213145,0.619758,0.014395
43,0.192386,0.624813,0.035154
44,0.209348,0.621340,0.018191
45,0.213564,0.618055,0.013975
46,0.213037,0.619257,0.014502
47,0.209136,0.621502,0.018403
48,0.205637,0.625622,0.021902
49,0.213670,0.615468,0.013869
50,0.210286,0.619760,0.017253
51,0.209801,0.619901,0.017738
52,0.209272,0.617753,0.018268
53,0.213248,0.617951,0.014292
54,0.206200,0.621483,0.021339
55,0.207584,0.618305,0.019955
56,0.200412,0.626924,0.027127
57,0.209912,0.620096,0.017627
58,0.207747,0.621600,0.019792
59,0.215410,0.623432,0.012129
60,0.213464,0.619225,0.014076
61,0.214367,0.619441,0.013172
62,0.210100,0.617067,0.017440
63,0.217285,0.618038,0.010254
64,0.206184,0.621630,0.021355
65,0.212773,0.617971,0.014766
66,0.209755,0.621703,0.017785
67,0.208131,0.622750,0.019409
68,0.214597,0.618548,0.012942
69,0.191887,0.627107,0.035653
70,0.212615,0.621189,0.014924
71,0.212381,0.624791,0.015159
72,0.213992,0.625349,0.013548
73,0.211547,0.618788,0.015992
74,0.212687,0.619072,0.014852
75,0.212556,0.623605,0.014984
76,0.211380,0.618674,0.016160
77,0.211472,0.617854,0.016067
78,0.211882,0.623830,0.015658
79,0.211286,0.619916,0.016254
80,0.210504,0.619584,0.017035
81,0.213261,0.621346,0.014279
82,0.211625,0.623011,0.015914
83,0.212097,0.624281,0.015442
84,0.204463,0.620042,0.023076
85,0.210549,0.623293,0.016990
86,0.210717,0.622537,0.016822
87,0.209326,0.619968,0.018213
88,0.209808,0.620511,0.017732
89,0.213104,0.618608,0.014435
90,0.212332,0.619053,0.015207
91,0.208917,0.620709,0.018623
92,0.206128,0.622881,0.021411
93,0.214638,0.622086,0.012901
94,0.211642,0.615359,0.015897
95,0.211105,0.626591,0.016434
96,0.212569,0.621039,0.014971
97,0.206732,0.616155,0.020808
98,0.211670,0.619463,0.015870
99,0.211713,0.618898,0.015826
100,0.210849,0.623342,0.016691
101,0.215489,0.621846,0.012051
102,0.215588,0.622587,0.011951
103,0.210889,0.624682,0.016650
104,0.213333,0.623571,0.014206
105,0.204948,0.623527,0.022591
106,0.210853,0.616965,0.016686
107,0.212436,0.626023,0.015104
108,0.213375,0.620361,0.014164
109,0.214044,0.622043,0.013495
110,0.207534,0.616669,0.020005
111,0.210454,0.620218,0.017086
112,0.207362,0.619490,0.020178
113,0.211347,0.618827,0.016192
114,0.205565,0.620625,0.021974
115,0.210479,0.617427,0.017061
